Symbol,Model,MAE,RMSE,MAPE,DirAcc,R2
ALL,Zero,0.003589653555748669,0.006242968775223041,0.9759657875865508,0.024013416113608792,-8.226808670031005e-05
BTCUSDT,Zero,0.002609612127681166,0.004555792896380781,0.9998057875212292,0.00014271442842871414,-0.0002993353709723756
ETHUSDT,Zero,0.0028350669323847976,0.004850749258108472,0.9988382148507632,0.0011417154274297131,-6.381131517274596e-05
SOLUSDT,Zero,0.005947123149695403,0.009369652872191669,0.9641642390278855,0.0358315488936474,-0.00019416784600112535
BNBUSDT,Zero,0.002967484903084585,0.004882331175595049,0.9410515404438116,0.058941058941058944,-1.9561883835006455e-05
ALL,Naive,0.005395294882321992,0.008916087432643119,7569.943002275969,0.4446942125169486,-1.0398678761761935
BTCUSDT,Naive,0.003963980399558311,0.006556857179853078,30.63144554162712,0.46396460682174967,-1.0720178010173629
ETHUSDT,Naive,0.004324587253488608,0.006988562136985599,138.15495685141752,0.4581133152561724,-1.0758010248736398
SOLUSDT,Naive,0.008838418474330166,0.013296955900372512,16692.957833060278,0.4358315488936474,-1.014381720872922
BNBUSDT,Naive,0.00445517616874177,0.007026579762822784,13420.631745344794,0.420864849436278,-1.0712951432034048
ALL,Ridge,0.0036510627716095988,0.006265040895520446,1281.256613308414,0.4750945550560194,-0.007166384092875511
BTCUSDT,Ridge,0.002694482673397351,0.0045818627179643545,7.093400946686074,0.4812330526616241,-0.011780207478398141
ETHUSDT,Ridge,0.00291031086525267,0.004868795298025585,28.203741987211455,0.4762380476666191,-0.007518643796910585
SOLUSDT,Ridge,0.005958429350617923,0.009388803656340325,2009.0177357883292,0.4885082084225553,-0.0042869721312057685
BNBUSDT,Ridge,0.0030416867861754494,0.004916161015334709,3080.9192985366844,0.4544027401170258,-0.013925913847796068
ALL,Lasso,0.0036330156442782456,0.006258250333997073,1126.3864814054546,0.47794904731320914,-0.004984269417239284
BTCUSDT,Lasso,0.002666459097037219,0.004570003280267013,2.955383915356728,0.4825174825174825,-0.006549315103858033
ETHUSDT,Lasso,0.0028917706444453375,0.0048629097820874915,24.062203490272026,0.4829456258027687,-0.00508429088153961
SOLUSDT,Lasso,0.005952054572218573,0.009385053834861672,1812.1419526009556,0.48936473947180587,-0.003484922166072657
BNBUSDT,Lasso,0.003022440184042062,0.004905577773675328,2666.5821200154605,0.4569715998287427,-0.00956516456013845
ALL,ElasticNet,0.0035988388690175403,0.0062474382135437115,758.6077381820409,0.49143652322843073,-0.001514729524704883
BTCUSDT,ElasticNet,0.002621290822136542,0.0045573154511969,2.4358158555639737,0.5002140716426431,-0.0009680510487117822
ETHUSDT,ElasticNet,0.002850573731560786,0.004853169734813977,22.375176615647366,0.5007849293563579,-0.0010621045544960683
SOLUSDT,ElasticNet,0.005938477223832962,0.009376421967294464,1349.2212892872496,0.49564596716630976,-0.0016398681666243142
BNBUSDT,ElasticNet,0.002985681498840946,0.004888376123782279,1660.5672491204386,0.4691023262451834,-0.0024973981884877094
ALL,KernelRidge,0.003659070008732555,0.006266560171132988,1450.0354909271566,0.4893313351887533,-0.00765492004446422
BTCUSDT,KernelRidge,0.0026977534879077895,0.004599372920319147,11.991021119587106,0.5042100756386471,-0.019528291700036338
ETHUSDT,KernelRidge,0.0029068507233439896,0.004865518747864358,47.98265561885815,0.49621806764663906,-0.006163041692312188
SOLUSDT,KernelRidge,0.005999681913047418,0.009381932338092536,2627.802886287706,0.48793718772305494,-0.0028175090475284215
BNBUSDT,KernelRidge,0.0030326619888112177,0.004923907196381102,3112.7015694837773,0.46895961181675466,-0.017123629023172438
ALL,SVR,0.0038901845502346106,0.0063682494078496086,2594.7151028778944,0.4733461785484907,-0.04062326077932621
BTCUSDT,SVR,0.003051440792911768,0.004795116111608617,17.61413241381968,0.48908234622520336,-0.10815443736516506
ETHUSDT,SVR,0.0031977500907889715,0.005013713078493848,87.35654097120452,0.47395461681175965,-0.06838803038052443
SOLUSDT,SVR,0.0060651333708453305,0.009417697055636266,3626.7811551725977,0.478372591006424,-0.010477731865433881
BNBUSDT,SVR,0.0032470347395479643,0.0050407010411968305,6647.403164387466,0.4519765948337377,-0.06594772494153256
